,Date,Likert_algorithms:Ik_weet_waar_en_hoe_vaak_een_alg,Likert_algorithms:Ik_kan_herkennen_wanneer_NU_nl_e,Likert_algorithms:Ik_begrijp_waarom_bepaalde_artik,Likert_algorithms:De_selectie_van_nieuwsartikelen_,Likert_algorithms:Ik_denk_dat_het_personalisatie-a,text,text1,Likert_transparentie:Het_is_voor_mij_belangrijk_om_te,Likert_transparentie:Ik_wil_graag_meer_inzicht_krijge,Likert_transparentie:Ik_wil_graag_weten_welke_gegeven,Likert_transparentie:Ik_wil_graag_begrijpen_met_welk_,Likert_transparentie:Ik_vind_dat_NU_nl_duidelijker_zo,Hoe_kun_je_herkennen_of_een_nieu,Likert_controle:Ik_wil_graag_de_mogelijkheid_heb,Likert_controle:Ik_vind_het_belangrijk_dat_ik_op,Likert_controle:Ik_vind_het_belangrijk_om_aan_te,Likert_controle:Ik_vind_het_belangrijk_om_mijn_v,Likert_controle:Ik_vind_het_belangrijk_dat_ik_ka,In_welke_situaties_zou_je_ervoor,Likert_personalisatie_curatie:Ik_vind_dat_algoritmes_mij_helpe,Likert_personalisatie_curatie:Ik_geef_de_voorkeur_aan_aanbevel,Likert_personalisatie_curatie:Ik_denk_dat_een_algoritme_beter_,Likert_personalisatie_curatie:Ik_geloof_dat_aanbevelingen_door,Likert_personalisatie_curatie:Ik_waardeer_dat_algoritmes_mij_m,Likert_curatie_concerns:Ik_ben_bezorgd_dat_algoritmes_er,Likert_curatie_concerns:Ik_vind_het_belangrijk_dat_mense,Likert_curatie_concerns:Ik_vertrouw_aanbevelingen_van_ee,Likert_curatie_concerns:Algoritmes_zijn_te_beperkt_om_te,Hoe_belangrijk_vind_je_personali,Hoe_vaak_klik_je_op_nieuwsartike,Hoe_vaak_blijf_je_ingelogd_op_NU,Hoeveel_tijd_besteed_je_gemiddel,Heb_je_toestemming_gegeven_voor_,Welke_cookies_heb_je_geaccepteer,Wat_is_jouw_leeftijd_,Geef_aan_op_een_schaal_van_1_tot:Ik_ben_bezorgd_dat_algoritmes_er,Geef_aan_op_een_schaal_van_1_tot:Ik_vind_het_belangrijk_dat_mense,Geef_aan_op_een_schaal_van_1_tot:Ik_vertrouw_aanbevelingen_van_ee,Geef_aan_op_een_schaal_van_1_tot:Algoritmes_zijn_te_beperkt_om_te,Geef_aan_op_een_schaal_van_1_tot:Ik_denk_dat_menselijke_redacteur,URL,Location,Total Time,Device type,Browser,System,IP
1740,2024-11-01 16:48:34,1,3,3,2,1,Om ons in de gaten te houden zodat de overheid weet wat voor persoon ik ben. In de toekomst zullen die vuil pvv ers dit gebruiken om tegenstanders uit de weg te druimen. Net als de nazis en nsb vroeger,"Jullie kijlen hoe lang en vaak ik bepaalde artikelen lees, waar ik reacties plaats, etc",5,5,5,5,5,"Meestal omdat ik over het onderwerp gepraat heb, dan luistert telefoon ons af en grappig genoeg komt dan dat artikel opeens als eerste naar boven",3,5,3,1,5,"Altijd, omdat het jullie geen ruk aangaat wat ik interessant vind. Waarom wil je het weten? Het kan alleen maar voor negatieve doeleunden gebruikt worden",1,1,3,1,1,,,,,Ik denk dat algoritmes he uiteindelijk een heel eenzijdig beeld van de werkelijkheid voorspiegeln. Je zal lezen wat je wilylt horen en zal bevestiging vinden in je wereldbeeld. Het bellemert  de mogelijkheid om onafhankelijk nieuws tot je te nemen,3,Ik_ben_altijd_ingelogd,5_tot_15_minuten,Ja,Alle_cookies_inclusief_marketing,43,5,3,3,3,3,,,415s,Mobile Phone,Samsung Browser 26.0.0,Android,
1741,2024-11-01 16:43:20,1,1,3,1,3,Was me daar helemaal niet van bewust.,Er wordt gekeken wat ik wel en niet lees en dan krijg ik meer van hetzelfde?!,3,1,1,1,5,Herken ik niet.,1,5,3,5,5,"Ben een alleseter wat nieuws betreft, slechts shownieuws en het koningshuis interesseert me niet.",1,1,1,1,1,,,,,"Ik vind juist de mens belangrijk, niet een of ander computerprogramma.",5,Ik_ben_altijd_ingelogd,15_tot_30_minuten,Ja,Alleen_noodzakelijke_cookies,66,5,5,5,5,5,,,356s,Mobile Phone,Chrome Mobile iOS 0.0.0,iOS,
1742,2024-11-01 16:38:40,1,1,1,1,1,Geen idee,Geen idee,5,5,5,5,5,Geen idee,5,5,5,5,5,Wanneer ik nieuws wil lezen over o,1,3,4,2,4,,,,,"Niet op nu.nl, wel op Instagram waar ik continue foto's van Jesus beelden te zien krijg zonder dat ik daarom vraag",3,Ik_blijf_meestal_ingelogd_tijden,15_tot_30_minuten,Weet_ik_niet,,47,5,5,5,3,4,,,273s,Mobile Phone,Safari 17.6.0,iOS,
1743,2024-11-01 16:32:48,3,1,4,1,1,Overal,Op basis van mij surfgedrag wordt er een profiel gemaakt en op basis daarvan weer content aangeboden die past bij mijn voorkeuren. Nadeel is dat ik in een 'tunnel' kom. Liever dus niet!,4,5,5,5,5,Niet,4,5,5,1,5,"Altijd, om zo objectief mogelijk informatie te verkrijgen",3,2,4,1,3,,,,,Niet,2,Ik_log_alleen_in_wanneer_het_nod,Minder_dan_5_minuten,Ja,Alleen_noodzakelijke_cookies,47,4,5,3,2,3,,,386s,Mobile Phone,Chrome Mobile 0.0.0,Android,
1744,2024-11-01 16:29:49,1,1,1,4,3,Geen idee ik vind dit moeilijke materie,Nee,1,1,1,1,1,Nee,1,3,2,1,1,Geen,2,1,1,2,1,,,,,"Ik prefeer mensenwerk, maar besef dat door vergrijzing en een andere werkethos algoritmes belangrijk worden of zijn.",2,Ik_log_nooit_in_op_NU_nl,5_tot_15_minuten,Weet_ik_niet,,57,3,4,3,1,3,,,377s,Mobile Phone,Samsung Browser 26.0.0,Android,
1745,2024-11-01 16:22:37,3,1,5,3,5,Geen idee,Geen idee,5,5,5,5,5,Geen idee,1,5,1,5,5,Ik wil geen personalisatie. Nieuws is nieuws en het belangrijkste is dat dat objectief wordt gebracht,1,1,1,1,1,,,,,Dit moet niet kunnen,3,Ik_log_nooit_in_op_NU_nl,15_tot_30_minuten,Nee,,61,5,5,5,5,5,,,336s,Desktop,Safari 17.6.0,MacOSX,
1746,2024-11-01 16:20:44,1,1,5,2,1,-,-,4,1,5,1,5,-,5,5,5,5,5,-,2,1,1,1,1,,,,,-,3,Ik_ben_altijd_ingelogd,15_tot_30_minuten,Weet_ik_niet,,40,5,5,5,5,5,,,287s,Mobile Phone,Chrome Mobile 0.0.0,Android,
1747,2024-11-01 16:12:18,4,3,3,2,3,Alle pagina's,Volgen mijn belangstelling op onderwerpen die ik aanklik,4,4,4,3,4,Geen idee,5,5,5,5,4,Racisme/ populisme,3,3,3,2,3,,,,,Ik ben bang dat ik in een fuik loop net als die Wappies,3,Ik_blijf_meestal_ingelogd_tijden,30_tot_60_minuten,Nee,,65,5,4,4,4,4,,,483s,Mobile Phone,Chrome Mobile 0.0.0,Android,
1748,2024-11-01 16:12:04,1,1,1,1,1,Geen idee,"Slecht. Ik wil alles lezen, niet alleen wat in mijn straatje past",4,4,4,4,5,Geen idee,5,5,4,5,5,Weet ik niet,3,1,1,1,1,,,,,Niet,3,Ik_ben_altijd_ingelogd,5_tot_15_minuten,Ja,Alle_cookies_inclusief_marketing,66,5,5,5,5,5,,,964s,Mobile Phone,Chrome Mobile iOS 0.0.0,iOS,
1749,2024-11-01 16:09:49,2,2,4,4,4,"Bij het Voor jou kopje, de reacties",Het algoritme kijkt welke dingen ik bekijk en zet dingen bovenaan die lijken op waar ik naar kijk,3,4,5,4,4,De datum,4,4,4,3,5,Als ik vreemde dingen lees en niet meer van dat soort dingen wil lezen,4,2,2,4,2,,,,,"Vind ik niet belangrijk, ik wil niet alleen dingen van 1 kant zien",4,Ik_ben_altijd_ingelogd,15_tot_30_minuten,Ja,Cookies_voor_personalisatie_van_,16,3,4,4,2,5,,,820s,Mobile Phone,Chrome Mobile 0.0.0,Android,
1750,2024-11-01 15:58:15,3,4,4,3,2,Bij persoonlijk nieuws,Kijken naar mijn voorkeuren en mijn gedrag op de site,2,1,1,2,5,?,5,5,4,5,5,Als ik geen gezeur meer wil lezen,1,3,2,1,1,,,,,Niet,1,Ik_ben_altijd_ingelogd,5_tot_15_minuten,Ja,Alle_cookies_inclusief_marketing,67,4,5,5,3,4,,,312s,Mobile Phone,Chrome Mobile 0.0.0,Android,
